Date,Area is: World,Sub Area is: Country,Sub Area is: City,Image url,Special colum: lpi,Item title ENG,Item ENG,Item title ITA,Item ITA,Item title POR,Item POR,Item title DEU,Item DEU,Item title FRA,Item FRA,Item title CHI,Item CHI,Item title JAP,Item JAP,Item ESP,Item title GAE,Item GAE,Item title MAG,Item MAG,Item title URD,Item URD
"Sunday, August 25, 1991",World,,,,,,Vai al 1994,,,,,,,,,,,,,,,,,,,
"Monday, August 26, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, August 27, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, August 28, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, August 29, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, August 30, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, August 31, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, September 1, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, September 2, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, September 3, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, September 4, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, September 5, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, September 6, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, September 7, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, September 8, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, September 9, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, September 10, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, September 11, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, September 12, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, September 13, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, September 14, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, September 15, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, September 16, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, September 17, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, September 18, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, September 19, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, September 20, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, September 21, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, September 22, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, September 23, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, September 24, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, September 25, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, September 26, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, September 27, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
