Date,Area is: World,Sub Area is: Country,Sub Area is: City,LPI SPECIFIC,Image url,Item title ENG,Item ENG,Item title ITA,Item ITA,Item title POR,Item POR,Item title DEU,Item DEU,Item title FRA,Item FRA,Item title CHI,Item CHI,Item title JAP,Item JAP,Item ESP,Item title GAE,Item GAE,Item title MAG,Item MAG,Item title URD,Item URD
"Sunday, August 25, 1991",World,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Linus_Torvalds.jpeg/330px-Linus_Torvalds.jpeg,,"In 1991, while studying computer science at University of Helsinki, Linus Torvalds began a project that later became the Linux kernel",,,,,,,,,,,,,,,,,,,
"Monday, August 26, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, August 27, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, August 28, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, August 29, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, August 30, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, August 31, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, September 1, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, September 2, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, September 3, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, September 4, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, September 5, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, September 6, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, September 7, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, September 8, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, September 9, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, September 10, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, September 11, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, September 12, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, September 13, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, September 14, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, September 15, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, September 16, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, September 17, 1991",World,Finland,Helsinki,,,,Linus Torvalds releases the first (0.01) Linux kernel. He is 21 years old at the time.,,,,,,,,,,,,,,,,,,,
"Wednesday, September 18, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, September 19, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, September 20, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, September 21, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, September 22, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, September 23, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, September 24, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, September 25, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, September 26, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, September 27, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, September 28, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, September 29, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, September 30, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, October 1, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, October 2, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, October 3, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, October 4, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, October 5, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, October 6, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, October 7, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, October 8, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, October 9, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, October 10, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, October 11, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, October 12, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, October 13, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, October 14, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, October 15, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, October 16, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, October 17, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, October 18, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, October 19, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, October 20, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, October 21, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, October 22, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, October 23, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, October 24, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, October 25, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, October 26, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, October 27, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, October 28, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, October 29, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, October 30, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, October 31, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, November 1, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, November 2, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, November 3, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, November 4, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, November 5, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, November 6, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, November 7, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, November 8, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, November 9, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, November 10, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, November 11, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, November 12, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, November 13, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, November 14, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, November 15, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, November 16, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, November 17, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, November 18, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, November 19, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, November 20, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, November 21, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, November 22, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, November 23, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, November 24, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, November 25, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuesday, November 26, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, November 27, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Thursday, November 28, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Friday, November 29, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday, November 30, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunday, December 1, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
"Monday, December 2, 1991",World,,,,,,,,,,,,,,,,,,,,,,,,,
